"gene","score","rank"
"Apoe",0.703744126584851,565
"Npc1",0.703744126584851,566
"Syt2",0.703744126584851,567
"Tac1",0.703744126584851,568
"Plpp7",0.703135999055394,569
"Tmem41b",0.702761726779288,570
"Vipr1",0.702761726779288,571
"Ptprj",0.701692948691533,572
"Efhd1",0.697861695599233,573
"Rtl1",0.697861695599233,574
"B3galt1",0.694288060996485,575
"Il16",0.692022971239597,576
"Gpr45",0.691996207914312,577
"B3galnt1",0.691233565672539,578
"Snhg11",0.690611530466292,579
"Reck",0.690239263610936,580
"B4galt4",0.689625216336846,581
"B3glct",0.689240989916073,582
"Fuca2",0.688347421946869,583
"Sult1a1",0.688102674690453,584
"Tmem120b",0.687673458671708,585
"Atp9b",0.686326315366951,586
"Cyp2d22",0.686141145842778,587
"Tm9sf4",0.684702243746688,588
"Pcsk2",0.684440774363724,589
"Gabrd",0.684352206826942,590
"Tm2d1",0.684352206826942,591
"Fcer1g",0.683033199144794,592
"Smim3",0.682768145374412,593
"Tmem43",0.682768145374412,594
"Tmem115",0.682132109291767,595
"Cpq",0.68176749096452,596
"Gpr63",0.678868387826289,597
"Adamts3",0.677141886020439,598
"Alg1",0.677141886020439,599
"Nagpa",0.676039454033813,600
"Kcnh4",0.674952990090462,601
"P3h4",0.674952990090462,602
"Rnf207",0.674952990090462,603
"Ptn",0.671763985890329,604
"St7l",0.671763985890329,605
"Tmem41a",0.669642123733935,606
"Serinc2",0.668382041800277,607
"Tmem129",0.668263712866573,608
"Pcdhb12",0.667269195017388,609
"Adam17",0.66723809631012,610
"Nle1",0.66723809631012,611
"Asph",0.666610908287972,612
"Fads3",0.666610908287972,613
"Pigu",0.666610908287972,614
"Ric3",0.666610908287972,615
"Rnf26",0.666610908287972,616
"Tvp23b",0.666610908287972,617
"Slc35b4",0.666538728397429,618
"Fgfr2",0.666434069749035,619
"Nrsn1",0.666434069749035,620
"Stard3",0.665885797679639,621
"Plxna1",0.664921599700511,622
"Elovl4",0.664492006981504,623
"Mbtps1",0.664492006981504,624
"Scarb1",0.663349357389724,625
"Sun1",0.663349357389724,626
"Serinc5",0.662418408735407,627
"Cept1",0.662235968478521,628
"Rcn2",0.662235968478521,629
"Hacd3",0.662103065327114,630
"Fam177a",0.661912843463892,631
"Gm32810",0.661912843463892,632
"Olig1",0.661912843463892,633
"Htr6",0.661787499370354,634
"Tex30",0.661259317910231,635
"Slc35a1",0.660901805325938,636
"Aif1",0.656785139050603,637
"Ssr3",0.656785139050603,638
"Calr",0.656189524710298,639
"Ly6c1",0.656189524710298,640
"Npdc1",0.655467502967403,641
"Slc38a7",0.655467502967403,642
"Tmem86a",0.654137458049218,643
"Cdh10",0.651772267197208,644
"Hyou1",0.651322705894946,645
"Snx33",0.651192598455008,646
"Slc31a2",0.650421032509852,647
"Clic5",0.650364781633788,648
"Fcrl2",0.648206622312377,649
"Slc10a3",0.648206622312377,650
"Tmem30a",0.648206622312377,651
"Scap",0.647677425384498,652
"Slc6a1",0.647677425384498,653
"Tmem209",0.647677425384498,654
"Il11ra2",0.647369342739103,655
"Slc30a3",0.647369342739103,656
"Il11ra1",0.64720261164818,657
"Hr",0.644745114741539,658
"Sebox",0.644745114741539,659
"Gpr146",0.644726406487058,660
"Lpcat3",0.64445986205282,661
"Cxadr",0.644299980443303,662
"Tpst1",0.644299980443303,663
"Morf4l1b",0.643915080779067,664
"Lifr",0.642496655461005,665
"Gm46901",0.641906924461641,666
"Cyp2j9",0.637506667529927,667
"Selenop",0.637506667529927,668
"Gaa",0.636740317441201,669
"Tmem178",0.63589736706704,670
"Ficd",0.634304978810826,671
"Tet2",0.634304978810826,672
"Ubac2",0.634304978810826,673
"Cenpa",0.633157857900207,674
"Slc11a2",0.633157857900207,675
"Tlcd5",0.633157857900207,676
"Sapcd2",0.632952324244026,677
"Sema7a",0.631679524641253,678
"Glrb",0.630733400465388,679
"Sec14l5",0.630652928712202,680
"Adcy1",0.628046490743418,681
"Dner",0.628046490743418,682
"Entrep3",0.628046490743418,683
"Fbxo47",0.628046490743418,684
"H6pd",0.628046490743418,685
"Hacd2",0.628046490743418,686
"Mfsd11",0.628046490743418,687
"Tm9sf1",0.628046490743418,688
"Tmbim4",0.628046490743418,689
"Tmprss6",0.626949113998672,690
"Nell1",0.626662007981407,691
"Rhog",0.626662007981407,692
"Cd83",0.625183215728573,693
"Slc31a1",0.625183215728573,694
"Derl2",0.625135573909698,695
"Glt8d2",0.623560125219893,696
"Lrrc57",0.623143107546532,697
"Ccpg1",0.623089293529791,698
"Tyrobp",0.623044034433136,699
"Chst11",0.621100017449592,700
"Hbp1",0.619071853440302,701
"Scg3",0.618754043627857,702
"Prss3l",0.616833690089271,703
"G6pc3",0.616485275776326,704
"Trabd2b",0.615861644359371,705
"Morn1",0.61439145882217,706
"Tm7sf2",0.614378696146912,707
"Scd2",0.612563241483863,708
"Septin4",0.612563241483863,709
"Atf6b",0.612093946887797,710
"L1cam",0.608562071951445,711
"Saraf",0.608493086193275,712
"Caml",0.608453373079715,713
"Scarb2",0.607597856707627,714
"Zfp97",0.606674883729295,715
"Adck2",0.604574858059273,716
"C230057M02Rik",0.604314060500916,717
"Pigo",0.604314060500916,718
"Sash3",0.604314060500916,719
"Abhd12",0.600826305705525,720
"Boc",0.600826305705525,721
"Gm11525",0.600826305705525,722
"Nxph1",0.600826305705525,723
"Scara3",0.600826305705525,724
"Fgfr1",0.599870813792844,725
"Clcn7",0.59985566511767,726
"D930048N14Rik",0.59985566511767,727
"Fkrp",0.59985566511767,728
