"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gid4",1183.67326253074,-0.917578243431022,0.227088957768128,-4.04061145222184,5.33120217528666e-05,0.000567176480716404
"Usp11",4467.78014263785,-0.917709370805871,0.255173870609652,-3.59640808290172,0.000322641516522028,0.00241852338382929
"Rhot1",3330.93350441531,-0.917836627765447,0.194312635217609,-4.72350460760088,2.31814704618603e-06,4.14118378889161e-05
"Pramel12",698.14710992845,-0.91884254587766,0.207605667670023,-4.42590299287062,9.60396790574246e-06,0.000137926200650156
"Manea",266.095639198835,-0.918851879594282,0.27248959347039,-3.37206227912014,0.000746075755072857,0.00475521007505059
"Acsl6",1250.7744536929,-0.918935992615235,0.213080147888764,-4.31263072473065,1.61323439110092e-05,0.000209878026033485
"Rnf14",17566.2214293137,-0.919460951535336,0.200384267120373,-4.58848873091921,4.46466404057782e-06,7.23497122088025e-05
"Zfp975",202.360430240135,-0.920524722221123,0.310888007996342,-2.96095281433934,0.00306688921755157,0.0147473783053968
"Nop56",2051.46398658249,-0.921165004042871,0.218319696611009,-4.21933988706551,2.4501865716332e-05,0.000297548121900355
"Wars1",4404.2757492392,-0.921408581870605,0.217370770951935,-4.23887985415641,2.24637833575483e-05,0.000277280980770001
"Cog2",612.957174518917,-0.921783715412963,0.269920621315425,-3.41501775937223,0.000637778530659225,0.00418920379867201
"Pitpnb",3162.94281013084,-0.922572250622686,0.254972166657478,-3.61832533612205,0.000296515510688826,0.0022583064213242
"Svip",1586.94791734404,-0.923100691023849,0.250339051483961,-3.68740188776737,0.000226555400480091,0.00181510145387303
"Gbe1",240.406036440969,-0.923109867069375,0.287249243037941,-3.21361984215028,0.00131073086698744,0.00742171092494732
"Calb1",12157.6255843733,-0.923324770058735,0.243383380569373,-3.79370509152556,0.00014841593499773,0.00129313382924818
"Xpnpep1",1429.1789400119,-0.923502584091897,0.248106066454741,-3.72220880080883,0.000197487604628986,0.00163362268542766
"Cstf2",1349.23373356858,-0.923654414477101,0.20162542353407,-4.58104140979536,4.62666212033652e-06,7.45726591970979e-05
"Hivep2",4548.7551790132,-0.92367394428346,0.314855981530061,-2.9336395001766,0.00335013069101338,0.0158279925374755
"Ube2n-ps1",93.1010337651361,-0.923832563674726,0.370752687921889,-2.49177576797329,0.0127106253374589,0.0449479787710233
"Mbtps1",956.460013662649,-0.924221306495816,0.257408079321222,-3.59049066732079,0.000330056048813456,0.00246604176497552
"Gm21811",374.688206925236,-0.924341814388594,0.235513099796942,-3.92480000129741,8.68018235985799e-05,0.000829936508037878
"Eif3l",2026.7977947372,-0.924368376185379,0.231444636615902,-3.9939070945914,6.49933386201643e-05,0.000662817333843929
"Ecd",1761.32843777787,-0.924621309841545,0.216750359696683,-4.26583518078331,1.99155770106354e-05,0.000250049586359274
"Pprc1",342.999890916691,-0.924698943133315,0.316170293586439,-2.92468635381302,0.00344803558480917,0.0162218573614167
"Zfp112",219.62866852627,-0.924701050222992,0.339267383659019,-2.72558192965688,0.0064188243837627,0.0264536570350846
"Nrsn1",10194.5438830483,-0.924746797386163,0.339756661249182,-2.72179151392103,0.00649290906613775,0.0266784682690157
"Glyr1",6895.56621977943,-0.925156472356792,0.178236513522936,-5.19061136279318,2.09604713715052e-07,5.55323105719137e-06
"Pold1",186.275951206887,-0.925193247827595,0.342811431860351,-2.69884012562477,0.00695815944301406,0.0281967820752515
"Eftud2",2443.55201788371,-0.925327702382327,0.255988199752802,-3.61472795728819,0.000300663166977653,0.00228109196683753
"Telo2",520.812254284051,-0.925476005532876,0.305533338634699,-3.02905080561238,0.00245323423201828,0.0123873897927323
"Cbln2",1008.1880331511,-0.926306276736134,0.305756078223138,-3.02955964806732,0.00244910536885171,0.0123748606965659
"Chpf2",540.889219493772,-0.92699652798821,0.256393010753845,-3.615529632663,0.000299734184475251,0.00227519298594604
"Akap8l",1700.29165465178,-0.927340793843204,0.225945070521148,-4.10427539624684,4.05584089162836e-05,0.000456534960960443
"Pcx",1268.80612374795,-0.927481743052537,0.286604067611523,-3.23610809428459,0.00121171488999412,0.00698747834068781
"Dnajb5",2991.19686929014,-0.927678933122537,0.181012092166402,-5.12495558733023,2.97607890026683e-07,7.36518241183003e-06
"Lipa",214.867604151888,-0.927923998015835,0.351392782010115,-2.64070306939067,0.00827341945182552,0.0322227915492152
"Tm9sf4",792.735467587527,-0.927961850683,0.234271098065845,-3.96105989319341,7.461781173875e-05,0.000741341777737766
"Arsb",843.233118297865,-0.928305512872086,0.233692142170463,-3.97234371789425,7.11689275817887e-05,0.000715116809453933
"2310047K21Rik",135.87547515436,-0.928559096085731,0.329167113607393,-2.82093519583262,0.00478838748715971,0.0211003686805847
"Ap1g1",1590.09132578877,-0.929013575313202,0.238320403075117,-3.89817054404856,9.69221497134663e-05,0.000909977833122307
"Gm7964",427.457116563131,-0.929498236872592,0.260134560038636,-3.57314397877214,0.000352720693176375,0.00260116359985052
"Car8",290.858935284651,-0.929604237441262,0.333688367650886,-2.78584550005603,0.00533883112535009,0.0229339208364338
"Zdhhc3",2290.03473117466,-0.92965791188496,0.250922781713083,-3.70495618428133,0.000211427276994379,0.00172050950975599
"Dsel",178.280578299712,-0.929930632542253,0.329522147235367,-2.82205806299883,0.0047716537300814,0.0210513310817277
"Pknox2",3171.66442269334,-0.930210550848266,0.22647489211674,-4.10734515492681,4.00232919375761e-05,0.000452443573626651
"Nol4",3389.44113991267,-0.930675734781406,0.21466257390686,-4.33552862915553,1.45410246646882e-05,0.000193338248536577
"Anxa6",2687.36952157057,-0.931443918334529,0.275701271050439,-3.37845347896174,0.00072894764876074,0.00466166521059337
"Ero1b",224.416347142007,-0.931692458988966,0.296160156146892,-3.14590750866182,0.00165572357216362,0.00898565010875791
"Cdh9",149.930528952455,-0.933880744784014,0.328286280297084,-2.84471450935718,0.0044451244150184,0.0198615880316497
"Ap5m1",564.651915112807,-0.934067758412767,0.240348627374165,-3.88630369400299,0.000101782161459778,0.000943809647807893
"Ttc13",208.878205745713,-0.93491946760315,0.273492627142703,-3.41844486767582,0.000629800755575746,0.00413896393086321
"Zfp157",541.11872281658,-0.935577477228239,0.274370838978047,-3.40990128802681,0.000649863960093133,0.00424815335444693
"Msh2",769.569477604191,-0.935942680739053,0.302180850433546,-3.09729315870358,0.00195296633558938,0.0103373714916222
"Fech",2897.35242239714,-0.936147385124684,0.214427978336199,-4.36578935448858,1.26664501792961e-05,0.000173292727316381
"Dlg1",2475.2009696106,-0.936480907528918,0.208193220438349,-4.49813353939752,6.85526353343403e-06,0.000104125145398631
"Apln",201.663294836857,-0.936493396347654,0.350525031600764,-2.67168764544693,0.00754708631642398,0.0300483251114023
"Coq8b",564.087317931436,-0.936851037698796,0.241852253615885,-3.87365022939469,0.000107217262609587,0.000985489289917954
"Sorbs2",2228.66064761601,-0.937200080660898,0.257996449124493,-3.63260844806691,0.000280570596567341,0.00216043084783523
"Exoc5",2490.95983817198,-0.938043747724207,0.182685402326549,-5.13474933288571,2.82520320127657e-07,7.06159775200941e-06
"Zfp324",272.256040948845,-0.938046986291601,0.278283316386892,-3.37083443761843,0.000749408813443396,0.00476815721963011
"Gm26533",136.579021895002,-0.938076628755617,0.317613962646772,-2.95351193297154,0.00314180461504313,0.0150067373377354
"Platr25",358.602839995161,-0.938305061319533,0.264929271870097,-3.54171909618055,0.000397528567098756,0.00287376041143287
"Mtmr6",6248.5867546717,-0.938590268758481,0.181337659229736,-5.17592579911592,2.26783581057346e-07,5.90564893195776e-06
"Brat1",641.053615542543,-0.939059339166277,0.208649621518362,-4.50065201332578,6.7745335742903e-06,0.000103212011514188
"Ogt",4061.51489669088,-0.939506800627609,0.23748729201151,-3.95602978445715,7.62056640779697e-05,0.000754124825941542
"Tfip11",1031.0575208413,-0.939535041385321,0.198138941751652,-4.74179902789092,2.11828705451332e-06,3.83846901482499e-05
"Pphln1",1520.13281627558,-0.939726539234902,0.248053563078509,-3.78840169668307,0.000151619562718963,0.00131351157506589
